	PD_whole_tree	chao1	observed_otus
230	62.15596	1113.22727273	719.0
247	62.72383	998.076923077	729.0
207	51.55756	861.387755102	595.0
342	55.08188	796.32038835	556.0
333	62.98078	1180.36885246	775.0
265	64.4237	1102.91666667	792.0
364	56.49182	1017.91666667	634.0
355	53.2525	837.190909091	604.0
220	48.94788	807.0	594.0
341	56.24051	1058.79166667	649.0
272	47.37154	749.671641791	476.0
226	66.41907	1078.50413223	758.0
358	56.51312	904.390909091	648.0
346	58.60374	995.641304348	624.0
257	47.75115	892.531914894	605.0
233	49.88002	790.321100917	615.0
392	54.04641	825.791666667	521.0
347	56.4614	1030.12307692	721.0
264	45.95538	758.56122449	526.0
221	50.0101	855.555555556	610.0
383	60.21735	961.056603774	621.0
223	54.40768	861.411764706	578.0
283	56.93466	866.494845361	595.0
213	39.21823	561.357142857	397.0
255	55.20073	1156.08247423	675.0
251	57.45224	1040.3627451	671.0
325	65.29153	1070.05263158	744.0
423	62.71396	1170.66666667	784.0
245	70.22552	1080.175	750.0
211	61.32903	1141.27118644	738.0
246	64.44272	1088.85714286	687.0
189	69.85796	1154.3902439	765.0
343	60.78884	1027.03252033	714.0
135	67.16567	1033.35087719	738.0
205	54.5043	1023.69724771	673.0
212	52.17315	744.963414634	526.0
147	59.40416	1017.5	675.0
378	54.53014	932.655462185	669.0
266	65.44392	1092.28244275	759.0
248	53.60247	957.861111111	658.0
384	53.22664	810.144230769	591.0
222	59.01575	933.120967742	696.0
254	55.07038	959.05	712.0
258	48.92195	869.915662651	569.0
348	53.45931	950.21875	626.0
369	61.50869	969.113636364	716.0
353	70.43282	1119.66037736	830.0
218	57.05783	927.532110092	660.0
362	63.3085	1072.203125	738.0
396	48.73646	861.463414634	565.0
279	56.09873	977.194444444	689.0
324	59.77155	946.394230769	635.0
203	58.06157	1026.94642857	724.0
382	62.40686	1047.56034483	706.0
338	63.46888	1101.50847458	729.0
276	55.11245	916.146067416	643.0
267	54.77228	956.333333333	653.0
198	61.6158	1058.95762712	742.0
344	55.17569	977.3125	679.0
354	48.58748	811.402061856	583.0
394	43.01532	614.558441558	428.0
229	50.10166	937.321428571	610.0
215	53.39507	876.290322581	645.0
274	45.56774	676.070588235	478.0
225	66.55227	1003.84246575	775.0
139	60.68696	931.449152542	657.0
329	59.78617	957.702970297	652.0
349	55.23713	896.986486486	538.0
200	57.14336	950.421052632	673.0
239	50.74917	718.545454545	508.0
275	55.7679	883.639175258	605.0
381	53.11619	868.008403361	633.0
199	50.30868	890.9375	619.0
235	53.71757	969.24137931	597.0
376	60.72822	892.40625	606.0
240	50.63289	857.882978723	585.0
162	66.45948	1051.35714286	731.0
234	33.08081	618.0	372.0
357	58.48093	1000.95238095	717.0
379	53.88884	888.598130841	636.0
350	55.92984	910.868421053	546.0
438	52.56144	809.078947368	512.0
244	36.79525	543.357142857	315.0
326	60.20868	934.133928571	654.0
270	46.43336	817.471153846	573.0
101	55.48097	957.75	560.0
227	53.17399	868.45631068	615.0
377	47.85042	922.441860465	600.0
436	52.62362	820.611111111	528.0
217	53.14205	938.428571429	665.0
196	51.40924	795.754237288	622.0
252	47.64689	836.469879518	567.0
284	49.88921	838.9	536.0
356	51.08132	914.760416667	611.0
206	41.61878	650.692307692	451.0
197	37.03046	759.602739726	487.0
337	50.22792	858.623655914	568.0
256	62.29447	1065.93877551	709.0
330	52.866	912.127659574	573.0
372	36.9498	661.681818182	431.0
214	55.87938	1073.06741573	662.0
336	53.89708	916.729166667	566.0
366	68.04917	1045.51937984	734.0
172	58.58414	985.652542373	657.0
138	49.6896	807.223880597	489.0
250	53.27794	978.867346939	651.0
163	62.17851	1044.05	690.0
375	48.57979	890.891304348	566.0
370	47.59564	834.9	532.0
374	38.32996	615.904761905	414.0
340	47.30226	840.063829787	555.0
216	54.47502	899.787878788	652.0
154	59.47985	949.461538462	686.0
219	54.23158	1010.0	680.0
334	43.62323	762.056603774	543.0
367	44.46308	776.428571429	500.0
100	48.51117	951.043010753	589.0
180	63.28247	962.9	664.0
136	58.17006	779.0	570.0
253	53.27591	851.274509804	632.0
371	57.37719	1030.5	673.0
152	56.42098	899.111111111	567.0
156	59.80944	1010.89423077	672.0
121	58.50625	961.857142857	616.0
335	45.63403	819.295774648	480.0
127	64.83347	1168.42857143	724.0
145	68.38498	1133.2952381	709.0
107	63.91657	1038.30693069	668.0
111	56.92615	1012.73333333	588.0
361	36.85934	629.424242424	404.0
331	35.05134	691.282608696	379.0
236	29.45347	545.318181818	321.0
191	42.22873	757.571428571	448.0
435	34.94453	651.678571429	386.0
153	63.34699	1115.98165138	699.0
155	41.72349	714.588235294	467.0
282	56.43335	917.655462185	654.0
365	48.03591	726.566666667	501.0
148	58.10032	909.153061224	589.0
157	58.14357	1026.96875	623.0
123	60.04277	900.330434783	634.0
151	51.31698	804.368421053	496.0
117	51.32445	999.554054054	589.0
99	56.68311	813.174418605	558.0
161	63.59955	1021.14179104	717.0
150	60.77152	1046.6635514	679.0
332	39.55037	635.718309859	431.0
132	49.34576	711.489130435	508.0
177	39.39435	641.283783784	426.0
389	39.05335	732.263157895	397.0
149	46.11316	772.263888889	479.0
597	57.9703	1051.25925926	710.0
861	35.75981	757.180722892	580.0
864	36.67891	800.283783784	585.0
599	49.11208	894.242990654	608.0
811	54.64247	1068.66141732	750.0
771	53.21362	874.21875	550.0
875	44.98157	779.9	543.0
783	52.91858	893.558139535	590.0
859	64.07949	1098.21428571	747.0
858	53.25663	902.2	613.0
876	55.27625	1012.88297872	615.0
848	66.96089	1188.07317073	786.0
852	50.43616	877.760416667	574.0
773	66.25511	1153.64	768.0
839	55.60132	1009.31538462	711.0
822	59.50959	1161.31578947	733.0
832	59.09568	1097.75	724.0
819	70.96228	1254.20833333	854.0
816	71.84371	1118.44578313	841.0
728	57.71885	1110.5625	689.0
841	51.37911	953.060344828	640.0
775	47.02314	787.80952381	537.0
756	54.36596	917.967741935	607.0
843	65.97383	1081.390625	731.0
867	59.90941	1056.06875	772.0
851	67.83121	1193.94160584	812.0
784	42.89621	764.493670886	476.0
873	48.45297	1022.33333333	639.0
804	55.73071	996.346153846	674.0
821	45.65102	826.038834951	577.0
779	63.94589	1087.0	754.0
836	55.98236	1071.57522124	664.0
754	57.88444	1136.72897196	692.0
