	PD_whole_tree	chao1	observed_otus
230	76.97038	1931.38815789	1023.0
247	80.8195	2194.05921053	1097.0
207	64.30109	1595.44202899	886.0
342	70.79945	1298.85714286	796.0
333	83.94532	2481.3313253	1195.0
265	83.65623	2126.46192893	1199.0
364	73.38119	1952.02362205	926.0
355	68.05001	1514.0	872.0
220	64.78494	1609.15625	932.0
341	71.75627	1833.44715447	891.0
272	57.62947	1179.00917431	684.0
226	83.83976	2267.01273885	1149.0
358	75.84903	1814.55704698	984.0
346	76.43661	1838.1056338	949.0
257	58.83527	1770.55555556	919.0
233	62.80175	1578.07006369	946.0
392	63.77429	1223.86904762	650.0
347	76.44847	2118.7816092	1110.0
264	57.70406	1452.66141732	786.0
221	61.96656	1510.50331126	911.0
383	74.95598	1649.67391304	878.0
223	66.44953	1459.05	804.0
283	71.31066	1569.07936508	854.0
213	44.32512	818.163934426	530.0
255	67.26185	1747.62773723	912.0
251	71.74503	1746.9	936.0
325	84.55261	2219.16071429	1128.0
423	81.98948	2221.6827957	1180.0
245	85.06176	1837.5872093	1080.0
211	76.56466	2142.19858156	1044.0
246	78.31856	1892.54347826	952.0
189	87.68062	2372.34591195	1142.0
343	79.23979	1814.33333333	1067.0
135	90.34884	1988.57142857	1200.0
205	67.99392	2077.08510638	1018.0
212	63.76389	1307.29824561	753.0
147	77.91539	1927.9695122	1034.0
378	73.33834	1886.00546448	1067.0
266	84.30933	2222.84431138	1136.0
248	67.06827	1689.21818182	972.0
384	71.70948	1731.52238806	902.0
222	75.54821	1843.53488372	1059.0
254	69.95425	1880.35294118	1105.0
258	62.30818	1580.76433121	920.0
348	70.08892	1743.77852349	943.0
369	81.22383	1858.86021505	1088.0
353	91.68652	2342.67142857	1285.0
218	72.32317	1659.56578947	962.0
362	81.917	2037.00632911	1064.0
396	59.51471	1467.3046875	825.0
279	73.02901	1831.62068966	1068.0
324	74.02918	1697.10869565	912.0
203	73.26312	1824.625	1100.0
382	79.41531	2167.41891892	1064.0
338	81.40713	2104.55483871	1062.0
276	70.33424	1574.56069364	988.0
267	71.57451	1688.06060606	959.0
198	76.10084	2017.64	1076.0
344	74.13461	2016.12738854	1051.0
354	65.62679	1719.5	980.0
394	49.3259	987.510638298	569.0
229	63.71174	1717.024	898.0
215	66.82392	1676.25531915	921.0
274	56.31789	1271.47826087	722.0
225	80.47758	1933.61413043	1125.0
139	76.78018	1836.375	993.0
329	73.22573	1752.06569343	951.0
349	71.56949	1658.05504587	800.0
200	73.44673	1766.55882353	1015.0
239	59.73614	1230.95833333	722.0
275	66.67726	1395.44715447	810.0
381	67.6692	1645.82424242	952.0
199	65.06814	1730.66666667	949.0
235	64.19514	1591.78448276	826.0
376	80.19088	1755.11023622	902.0
240	62.0842	1483.91603053	847.0
162	85.56433	1922.46666667	1085.0
234	41.32678	983.338235294	492.0
357	77.3657	1853.2287234	1082.0
379	71.75476	1848.96815287	1019.0
350	72.25764	1723.44339623	804.0
438	63.87622	1358.11881188	704.0
244	43.27612	844.904761905	452.0
326	77.96422	1917.0	1000.0
270	57.55829	1465.64583333	837.0
101	67.64706	1577.27927928	777.0
227	70.04624	1697.23357664	930.0
377	62.6149	1669.68493151	918.0
436	62.03664	1238.71171171	679.0
217	70.57376	1911.22580645	1054.0
196	66.96141	1623.39010989	997.0
252	61.46389	1558.11678832	888.0
284	62.68966	1535.37815126	810.0
356	67.20109	1780.37414966	952.0
206	55.04743	1247.36633663	653.0
197	48.01351	1186.58208955	736.0
337	63.17536	1571.64566929	842.0
256	76.24137	1828.36363636	1028.0
330	66.40386	1508.34615385	812.0
372	49.42893	1258.91764706	628.0
214	71.06226	2036.16083916	1026.0
336	63.07341	1569.89189189	762.0
366	84.20834	1927.25	1061.0
172	74.48083	1697.51829268	952.0
138	61.57721	1244.05434783	654.0
250	65.96102	1806.08208955	941.0
163	78.60568	1826.44171779	989.0
375	62.81239	1620.33333333	852.0
370	60.35022	1593.00952381	747.0
374	49.77524	1161.92307692	615.0
340	57.98497	1364.04511278	776.0
216	69.57473	1878.05035971	1002.0
154	72.98168	1710.08571429	980.0
219	70.12902	1945.67924528	1027.0
334	55.6392	1633.84210526	802.0
367	55.05231	1298.35897436	699.0
100	61.47244	1717.87704918	845.0
180	82.67555	1828.04402516	1034.0
136	74.71772	1495.04790419	935.0
253	70.75907	1738.14814815	1046.0
371	71.76256	1902.13138686	951.0
