	PD_whole_tree	chao1	observed_otus
230	34.09251	527.386363636	270.0
247	35.16692	703.071428571	289.0
207	25.37926	471.157894737	226.0
342	31.0879	467.37037037	194.0
333	33.7831	611.195652174	284.0
265	35.84249	752.117647059	330.0
364	31.61187	537.026315789	239.0
355	31.00345	705.4	228.0
220	27.41276	586.228571429	254.0
341	27.63431	437.078947368	213.0
272	23.41571	321.171428571	174.0
226	36.30791	725.9	305.0
358	30.7695	593.0	233.0
346	33.25656	498.0	228.0
257	23.06434	510.0	246.0
233	26.59724	524.736842105	250.0
392	31.02154	439.64	191.0
347	32.98827	825.032258065	276.0
264	21.61188	539.476190476	188.0
221	26.33855	529.081081081	243.0
383	30.11122	529.551724138	213.0
223	30.67942	448.135135135	225.0
283	31.48645	464.243243243	227.0
213	30.37376	333.871794872	212.0
255	28.90042	449.133333333	236.0
251	27.04586	472.026315789	234.0
325	37.52694	695.441860465	291.0
423	33.10591	772.657894737	280.0
245	39.82846	766.2	303.0
211	33.43716	560.87755102	278.0
246	34.57006	529.923076923	251.0
189	38.6438	720.775	286.0
343	31.20031	684.529411765	252.0
135	39.99881	843.523809524	326.0
205	28.63118	680.677419355	260.0
212	28.61971	384.763157895	200.0
147	34.40714	512.41025641	241.0
378	30.44698	644.026315789	266.0
266	31.53317	703.777777778	276.0
248	29.71146	515.947368421	245.0
384	27.47121	423.243243243	207.0
222	33.81044	614.936170213	291.0
254	29.85373	628.404255319	297.0
258	25.76207	524.0	238.0
348	29.09112	639.285714286	248.0
369	34.43751	710.634146341	291.0
353	37.45038	904.428571429	307.0
218	31.73626	481.731707317	241.0
362	32.54928	771.103448276	264.0
396	23.8679	443.46875	209.0
279	32.05616	596.529411765	298.0
324	32.6254	538.0	244.0
203	30.62369	569.8	280.0
382	32.9706	765.4375	262.0
338	36.24169	577.357142857	263.0
276	32.5808	575.857142857	273.0
267	28.51676	560.941176471	241.0
198	36.46507	655.595744681	309.0
344	30.29786	695.028571429	265.0
354	26.63582	582.153846154	256.0
394	20.59867	628.214285714	160.0
229	25.98429	495.947368421	225.0
215	28.62629	821.954545455	251.0
274	25.50863	368.365853659	200.0
225	36.03177	558.888888889	296.0
139	30.41279	432.069767442	231.0
329	33.73268	578.238095238	260.0
349	26.89363	355.620689655	178.0
200	32.33337	484.80952381	263.0
239	23.99547	443.517241379	189.0
275	28.62871	405.75	208.0
381	27.60467	631.6	244.0
199	27.91432	601.6	265.0
235	31.6711	504.567567568	234.0
376	33.28273	633.464285714	229.0
240	27.87415	630.538461538	229.0
162	37.34071	740.428571429	275.0
234	16.83093	293.647058824	126.0
357	30.03755	650.965517241	250.0
379	32.1648	656.0	269.0
350	30.47984	396.121212121	194.0
438	26.98804	484.24	189.0
244	18.86044	227.714285714	116.0
326	30.48064	593.0	228.0
270	21.90949	370.666666667	198.0
101	26.03375	424.791666667	175.0
227	26.90571	531.441176471	237.0
377	24.19927	556.516129032	229.0
436	26.85934	476.12	176.0
217	30.18379	791.75	293.0
196	29.1734	529.317073171	264.0
252	27.01462	571.25	245.0
284	26.01021	416.416666667	208.0
356	27.25502	670.333333333	241.0
206	22.75929	325.888888889	164.0
197	21.29326	485.884615385	202.0
337	27.91871	509.303030303	227.0
256	33.17463	543.788461538	293.0
330	25.31203	762.3	211.0
372	20.45486	409.142857143	159.0
214	28.72244	598.903225806	248.0
336	27.35325	494.620689655	201.0
366	33.53734	643.5	246.0
172	28.76446	687.65	215.0
138	27.07164	474.75	175.0
250	27.32943	660.0	250.0
163	31.37035	561.157894737	243.0
375	26.49346	625.730769231	213.0
370	23.16973	459.894736842	167.0
374	20.53117	351.576923077	165.0
340	23.84655	415.903225806	197.0
216	29.10632	514.418604651	258.0
154	29.47463	587.677419355	232.0
219	32.0639	722.516129032	270.0
334	23.20664	488.307692308	195.0
367	23.52344	448.8	182.0
