#SampleID	BarcodeSequence	LinkerPrimerSequence	Description	AvgSpotLen	BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	Assay_Type	BioProject	BioSampleModel	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	env_biome	env_feature	env_material	geo_loc_name	host	lat_lon	SEASON
435				475	SAMN07280181	SRX2960750	25	21	9	SRR5761123	SRS2317614	TZ_HADZA_435	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
155				474	SAMN07280177	SRX2960754	21	9	4	SRR5761119	SRS2317618	TZ_HADZA_155	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
156				472	SAMN07280178	SRX2960755	22	9	4	SRR5761118	SRS2317619	TZ_HADZA_156	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
157				469	SAMN07280179	SRX2960756	23	9	4	SRR5761117	SRS2317620	TZ_HADZA_157	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
121				478	SAMN07280180	SRX2960757	24	9	4	SRR5761116	SRS2317621	TZ_HADZA_121	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
99				466	SAMN07280162	SRX2960798	6	10	4	SRR5761075	SRS2317662	TZ_HADZA_99	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
139				472	SAMN07280161	SRX2960799	5	10	4	SRR5761074	SRS2317663	TZ_HADZA_139	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
101				473	SAMN07280164	SRX2960800	8	9	4	SRR5761073	SRS2317664	TZ_HADZA_101	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
100				476	SAMN07280163	SRX2960801	7	13	5	SRR5761072	SRS2317665	TZ_HADZA_100	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
132				471	SAMN07280157	SRX2960803	1	7	3	SRR5761070	SRS2317666	TZ_HADZA_132	7-Sep-13	AMPLICON	PRJNA392012	MIMARKS.survey	public	0	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	6/27/17	human gut metagenome	ILLUMINA	8/25/17	SRP110600	human-associated habitat	human-associated habitat	feces	Tanzania	Homo sapiens	3.55 S 34.58 E	DRY
